date,region,ias_regional
2023-12-14,Normandie,0.21
2023-12-14,Nouvelle-Aquitaine,1.3766666666666667
2023-12-14,Occitanie,1.07
2023-12-14,Pays de la Loire,0.565
2023-12-14,Provence-Alpes-Côte d'Azur,1.77
2023-12-14,Île-de-France,0.22
2023-12-15,Auvergne-Rhône-Alpes,1.2375
2023-12-15,Bourgogne-Franche-Comté,0.2575
2023-12-15,Bretagne,0.69
2023-12-15,Centre-Val de Loire,1.08
2023-12-15,Corse,0.0
2023-12-15,Grand Est,0.8683333333333333
2023-12-15,Hauts-de-France,0.215
2023-12-15,Normandie,0.20750000000000002
2023-12-15,Nouvelle-Aquitaine,1.0966666666666667
2023-12-15,Occitanie,1.0525
2023-12-15,Pays de la Loire,0.495
2023-12-15,Provence-Alpes-Côte d'Azur,1.47
2023-12-15,Île-de-France,0.2
2023-12-16,Auvergne-Rhône-Alpes,0.9099999999999999
2023-12-16,Bourgogne-Franche-Comté,0.22249999999999998
2023-12-16,Bretagne,0.57
2023-12-16,Centre-Val de Loire,0.95
2023-12-16,Corse,0.0
2023-12-16,Grand Est,0.8516666666666666
2023-12-16,Hauts-de-France,0.21000000000000002
2023-12-16,Normandie,0.2
2023-12-16,Nouvelle-Aquitaine,0.8883333333333333
2023-12-16,Occitanie,0.855
2023-12-16,Pays de la Loire,0.455
2023-12-16,Provence-Alpes-Côte d'Azur,1.2
2023-12-16,Île-de-France,0.16
2023-12-17,Auvergne-Rhône-Alpes,0.675
2023-12-17,Bourgogne-Franche-Comté,0.18
2023-12-17,Bretagne,0.44
2023-12-17,Centre-Val de Loire,0.82
2023-12-17,Corse,0.0
2023-12-17,Grand Est,0.8400000000000002
2023-12-17,Hauts-de-France,0.19
2023-12-17,Normandie,0.175
2023-12-17,Nouvelle-Aquitaine,0.7533333333333333
2023-12-17,Occitanie,0.69
2023-12-17,Pays de la Loire,0.405
2023-12-17,Provence-Alpes-Côte d'Azur,0.94
2023-12-17,Île-de-France,0.13
2023-12-18,Auvergne-Rhône-Alpes,0.495
2023-12-18,Bourgogne-Franche-Comté,0.16999999999999998
2023-12-18,Bretagne,0.365
2023-12-18,Centre-Val de Loire,0.73
2023-12-18,Corse,0.0
2023-12-18,Grand Est,0.8616666666666667
2023-12-18,Hauts-de-France,0.175
2023-12-18,Normandie,0.1625
2023-12-18,Nouvelle-Aquitaine,0.7066666666666667
2023-12-18,Occitanie,0.605
2023-12-18,Pays de la Loire,0.395
2023-12-18,Provence-Alpes-Côte d'Azur,0.72
2023-12-18,Île-de-France,0.1
2023-12-19,Auvergne-Rhône-Alpes,0.4025
2023-12-19,Bourgogne-Franche-Comté,0.1775
2023-12-19,Bretagne,0.33
2023-12-19,Centre-Val de Loire,0.67
2023-12-19,Corse,0.0
2023-12-19,Grand Est,0.8916666666666666
2023-12-19,Hauts-de-France,0.175
2023-12-19,Normandie,0.16
2023-12-19,Nouvelle-Aquitaine,0.6900000000000001
2023-12-19,Occitanie,0.575
2023-12-19,Pays de la Loire,0.375
2023-12-19,Provence-Alpes-Côte d'Azur,0.59
2023-12-19,Île-de-France,0.08
