date_semaine,region,annee,taux_ias,taux_ias_std,taux_ias_min,taux_ias_max,urgences_grippe,sos_medecins,vacc_moins_65_risque,vacc_65_plus,vacc_65_74,vacc_75_plus,mois,semaine_annee,jour_annee,saison,annee_epidemio
2020-11-02,Auvergne-Rhône-Alpes,2020,25.271428571428572,0.0,25.271428571428572,25.271428571428572,73.40224542508334,264.71276029383336,40.416666666666664,58.958333333333336,,,11,45,307,hiver,2021
2020-11-02,Bourgogne-Franche-Comté,2020,25.271428571428572,0.0,25.271428571428572,25.271428571428572,124.8141510825,225.60631697666668,40.8375,59.7,,,11,45,307,hiver,2021
2020-11-02,Bretagne,2020,25.271428571428572,0.0,25.271428571428572,25.271428571428572,0.0,359.2650974166667,40.775,65.325,,,11,45,307,hiver,2021
2020-11-02,Centre-Val de Loire,2020,25.271428571428572,0.0,25.271428571428572,25.271428571428572,171.34719890250005,199.35633828,41.300000000000004,62.18333333333334,,,11,45,307,hiver,2021
2020-11-02,Corse,2020,25.271428571428572,0.0,25.271428571428572,25.271428571428572,0.0,0.0,34.5,54.95,,,11,45,307,hiver,2021
2020-11-02,Grand Est,2020,25.271428571428572,0.0,25.271428571428572,25.271428571428572,52.1249133967,226.917557664,41.010000000000005,60.529999999999994,,,11,45,307,hiver,2021
2020-11-02,Guadeloupe,2020,25.271428571428572,0.0,25.271428571428572,25.271428571428572,0.0,0.0,17.2,27.5,,,11,45,307,hiver,2021
2020-11-02,Guyane,2020,25.271428571428572,0.0,25.271428571428572,25.271428571428572,272.10884354,0.0,14.0,21.9,,,11,45,307,hiver,2021
2020-11-02,Hauts-de-France,2020,25.271428571428572,0.0,25.271428571428572,25.271428571428572,97.3463239782,546.1564963,43.059999999999995,61.74000000000001,,,11,45,307,hiver,2021
2020-11-02,Mayotte,2020,25.271428571428572,0.0,25.271428571428572,25.271428571428572,0.0,0.0,,,,,11,45,307,hiver,2021
2020-11-02,Normandie,2020,25.271428571428572,0.0,25.271428571428572,25.271428571428572,106.6294139242,35.958288386666666,43.54,62.839999999999996,,,11,45,307,hiver,2021
2020-11-02,Nouvelle-Aquitaine,2020,25.271428571428572,0.0,25.271428571428572,25.271428571428572,73.91232663925,700.42130714,40.699999999999996,61.18333333333334,,,11,45,307,hiver,2021
2020-11-02,Occitanie,2020,25.271428571428572,0.0,25.271428571428572,25.271428571428572,71.19696234392308,273.36024432,37.80769230769231,58.79230769230769,,,11,45,307,hiver,2021
2020-11-02,Pays de la Loire,2020,25.271428571428572,0.0,25.271428571428572,25.271428571428572,18.412015567,253.16455696,39.44,62.68000000000001,,,11,45,307,hiver,2021
2020-11-02,Provence-Alpes-Côte d'Azur,2020,25.271428571428572,0.0,25.271428571428572,25.271428571428572,73.65107590266668,598.6724017975,34.53333333333333,55.5,,,11,45,307,hiver,2021
2020-11-02,Réunion,2020,25.271428571428572,0.0,25.271428571428572,25.271428571428572,149.75664545,0.0,,,,,11,45,307,hiver,2021
2020-11-02,Île-de-France,2020,25.271428571428572,0.0,25.271428571428572,25.271428571428572,252.816874032875,356.080818306,34.6,57.625,,,11,45,307,hiver,2021
2020-11-09,Auvergne-Rhône-Alpes,2020,17.12857142857143,0.0,17.12857142857143,17.12857142857143,139.7241570725,189.62400397833332,40.416666666666664,58.958333333333336,,,11,46,314,hiver,2021
2020-11-09,Bourgogne-Franche-Comté,2020,17.12857142857143,0.0,17.12857142857143,17.12857142857143,62.139851459625,316.79986661,40.8375,59.7,,,11,46,314,hiver,2021
2020-11-09,Bretagne,2020,17.12857142857143,0.0,17.12857142857143,17.12857142857143,50.404374091,237.30913702666663,40.775,65.325,,,11,46,314,hiver,2021
